posicion,regla_id_dominante,regla_dominante,soporte_busqueda,confianzas_familia,metodo_similitud,Z,numero_condiciones_Z,fitness,soporte_anomalo,confianza_anomala,confianza_inversa,cf_directo,cf_inverso,miembros_familia_jaccard,jaccard_maximo_familia,nivel_confianza
55,RD_1105,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.623, r=0.070)",1,0.040171916244475483,0.004699600626020841,0.795785601131746,0.2025235820266665,0.6747114744657257,0.1190787996492452,1,0.0,alta
129,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.142, r=0.121) Y actividad_fisica=1",2,0.012784750869629092,0.0038816396688818723,0.7951873438927736,0.10082180958134733,0.6757132944968915,0.056761133636484516,2,0.9458826520681878,alta
25,RD_1037,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.616, r=0.107)",1,0.04795647356421471,0.004332439118557198,0.7947950268672145,0.22965640976442508,0.6806255004119208,0.1409188269766296,1,0.0,alta
32,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.694, r=0.243) Y glucosa=1 Y actividad_fisica=1",3,0.044826559940123974,0.010100419253216414,0.7944888564645612,0.343684103669331,0.7127620894823055,0.2515653433402019,1,0.0,alta
75,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.120, r=0.213)",1,0.030855212994008598,0.006141270667416851,0.7915622696549612,0.15951352382900913,0.6699735936203554,0.09210874365144872,2,0.8991705558182177,alta
31,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.655, r=0.212) Y fumador=0 Y actividad_fisica=1",3,0.045233663318979545,0.010339079768030607,0.7874397113436793,0.3518049373752247,0.702909671357305,0.257408114653675,1,0.0,alta
41,RD_1181,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.670, r=0.233)",1,0.04303502165520672,0.008338645080885929,0.786945854114703,0.2348914107291811,0.6481674655105186,0.13278982344882392,3,0.9158401393566427,alta
20,RD_1037,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.631, r=0.130)",1,0.052118193862936694,0.00477214847228941,0.7868872630811637,0.2529647745803177,0.6683181081325122,0.155968223002579,3,0.927160768303839,alta
56,RD_1139,altura_cm cercana a 159.77 con radio ±5.83 Y sexo = mujer Y colesterol = normal Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.641, r=0.132)",1,0.039905728169236515,0.002134092999998568,0.7830974137936433,0.21550140397871453,0.6484622432475392,0.1230780314036054,2,0.8943014369841165,alta
153,RD_0076,colesterol = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,triangular,"edad_anios(c=0.422, r=0.083) Y peso_kg(c=0.548, r=0.159)",2,0.008135820318000666,0.0014542863292200474,0.7820620069031999,0.050147804455863705,0.7081415180165659,0.03446692551280551,1,0.0,alta
60,RD_1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.629, r=0.139)",1,0.03856958929893029,0.0077187537438919394,0.7808882209340177,0.2174296829265335,0.6381640345699374,0.12087672513516863,1,0.0,alta
46,RD_1105,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.607, r=0.076)",1,0.042100426002717094,0.005134131182473872,0.780668624483799,0.22124914868559784,0.6506319821694009,0.1294139456912085,1,0.0,alta
35,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"altura_cm(c=0.734, r=0.191) Y presion_sistolica(c=0.643, r=0.174)",2,0.04429339735170086,0.007987525502435826,0.7804682560201637,0.27178926676399034,0.6931658383663277,0.19170043400909412,1,0.0,alta
59,RD_1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.690, r=0.210)",1,0.03921737051851546,0.007876544079312802,0.7792566496747095,0.22187448110740288,0.6354696967105294,0.1234279800327909,1,0.0,alta
17,RD_1105,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.630, r=0.110)",1,0.054105490935416015,0.006494547785692031,0.7760419402373245,0.2798746501817903,0.643262240833878,0.16822218840414954,24,0.9871281013623314,alta
50,RD_1180,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.654, r=0.174)",1,0.04155214131525666,0.00840767996100567,0.7750067676248201,0.23683605523959633,0.6284515428666754,0.13223657985058637,4,0.9254209870412224,alta
47,RD_1037,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.603, r=0.100)",1,0.042092565176169765,0.00410722458238216,0.7730906518455225,0.21771810886986018,0.6468455008066512,0.13014719936577768,1,0.0,alta
1,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.679, r=0.220)",1,0.12562169113371924,0.014149424085620673,0.7710986992182636,0.4814584436933363,0.6800702374565378,0.369437402829285,10,0.9810436616202899,alta
38,RD_1181,sexo = mujer Y colesterol = normal Y alcohol = no Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.647, r=0.217)",1,0.04408707890243452,0.00900938320206097,0.7698122773535432,0.2537854423115766,0.6198734855379612,0.14224540952634315,23,0.9917762562225996,alta
30,RD_1105,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.655, r=0.109)",1,0.045337058750441486,0.005677433880728101,0.7695111916483385,0.24466211870819385,0.6328595582075817,0.1432768397426042,1,0.0,alta
117,RD_0561,glucosa = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,sexo=2 Y colesterol=1 Y alcohol=0,3,0.01475109589863688,0.005,0.7692307692307693,0.16393442622950818,0.6351648351648352,0.09289617486338796,1,0.0,alta
