posicion,regla_id_dominante,regla_dominante,soporte_busqueda,confianzas_familia,metodo_similitud,Z,numero_condiciones_Z,fitness,soporte_anomalo,confianza_anomala,confianza_inversa,cf_directo,cf_inverso,miembros_familia_jaccard,jaccard_maximo_familia
72,RD_1119,altura_cm cercana a 159.77 con radio ±5.83 Y sexo = mujer Y colesterol = normal Y actividad_fisica = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.579, r=0.147)",1,0.031529231576936455,0.0021962255399013034,0.6629699731226846,0.27038302284016763,0.4584511840233091,0.13754673420293057,1,0.0
73,RD_0138,edad_anios cercana a 42.31 con radio ±4.28 => enfermedad_cardiovascular = no,0.001,0.60,triangular,"altura_cm(c=0.708, r=0.196) Y presion_sistolica(c=0.665, r=0.154) Y glucosa=1",3,0.030935265811233178,0.006411999578473789,0.8499518824527358,0.2181792926223471,0.7902814075191138,0.15657848213003783,1,0.0
74,RD_0247,presion_sistolica cercana a 102.00 con radio ±14.32 Y colesterol = normal Y fumador = no Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"peso_kg(c=0.530, r=0.143) Y presion_diastolica(c=0.433, r=0.075)",2,0.030901449983572846,0.001061838075876866,0.6899974837676363,0.17470050036887944,0.6402987980798603,0.14478295169180705,1,0.0
75,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.120, r=0.213)",1,0.030855212994008598,0.006141270667416851,0.7915622696549612,0.15951352382900913,0.6699735936203554,0.09210874365144872,2,0.8991705558182177
76,RD_0820,sexo = mujer Y colesterol = arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,"presion_diastolica(c=0.154, r=0.290)",1,0.030652761136118693,0.008983174250538092,0.6832458714426014,0.2333292013126777,0.49847262978411894,0.12298673710287342,2,0.9126586492283206
77,RD_1037,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,gaussiana,"presion_sistolica(c=0.574, r=0.091)",1,0.030463092088450106,0.004147485977827206,0.6864738430980013,0.21985230793809638,0.5120378520088052,0.11898765674818215,1,0.0
78,RD_0561,glucosa = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,gaussiana,sexo=2 Y colesterol=1,2,0.03029586260733801,0.0065,0.8125,0.21311475409836064,0.7035714285714285,0.12918032786885245,1,0.0
79,RD_0560,glucosa = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,0.001,0.60,triangular,sexo=2 Y colesterol=1,2,0.03029586260733801,0.0065,0.8125,0.21311475409836064,0.7035714285714285,0.12918032786885245,2,0.875
80,RD_0311,presion_sistolica cercana a 102.00 con radio ±14.32 Y colesterol = normal Y fumador = no Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"peso_kg(c=0.545, r=0.120) Y presion_diastolica(c=0.441, r=0.095)",2,0.030254801191168027,0.001556990691757795,0.7476754588338494,0.15830253459317825,0.7009256272866977,0.1294922029386421,3,0.9909806087528602
81,RD_1105,edad_anios cercana a 52.27 con radio ±2.26 Y colesterol = normal Y glucosa = normal Y alcohol = no => enfermedad_cardiovascular = no,0.001,0.60,triangular,"presion_sistolica(c=0.574, r=0.076)",1,0.029478184245266104,0.00488148471441459,0.7040055665423597,0.21036165594537434,0.5285171204411268,0.1115505367949562,1,0.0
