regla_id,posicion,regla,consecuente,metodo_similitud,variables_antecedente,numero_condiciones,fitness,soporte_XY,confianza,lift,factor_certeza,miembros_familia_jaccard,numero_semillas,numero_tamanos_enjambre,tamanos_enjambre,semillas,proporcion_semillas,nivel_estabilidad,es_reproducible,orden_estabilidad
RD_0198,198,presion_diastolica cercana a 99.00 con radio ±12.07 Y colesterol = arriba_de_lo_normal Y fumador = no Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, colesterol, fumador, presion_diastolica",4,0.1347537534046883,0.018190561066160123,0.8815575283443452,1.7719749313454174,0.7642935887449657,1,1,1,100,55,0.5,exploratoria,False,2
RD_0199,199,peso_kg cercana a 85.18 con radio ±8.17 Y sexo = mujer Y colesterol = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,si,triangular,"colesterol, peso_kg, sexo",3,0.13474239066364402,0.013194786688303923,0.8255591259107509,1.659415328463821,0.6528539819119421,1,1,1,100,13,0.5,exploratoria,False,2
RD_0200,200,colesterol = muy_arriba_de_lo_normal Y actividad_fisica = si => enfermedad_cardiovascular = si,si,triangular,"actividad_fisica, colesterol",2,0.1344868455506401,0.0725,0.763157894736842,1.5339857180640042,0.5286724273369992,2,1,2,"100, 500",55,0.5,exploratoria,False,2
RD_0201,201,colesterol = muy_arriba_de_lo_normal Y actividad_fisica = si => enfermedad_cardiovascular = si,si,gaussiana,"actividad_fisica, colesterol",2,0.1344868455506401,0.0725,0.763157894736842,1.5339857180640042,0.5286724273369992,2,1,2,"100, 500",55,0.5,exploratoria,False,2
RD_0203,203,peso_kg cercana a 85.18 con radio ±8.17 Y sexo = mujer Y colesterol = muy_arriba_de_lo_normal => enfermedad_cardiovascular = si,si,gaussiana,"colesterol, peso_kg, sexo",3,0.13370746175098638,0.010136372353035756,0.8237530961825185,1.655785117954811,0.6492598929005343,1,1,1,100,13,0.5,exploratoria,False,2
RD_0204,204,presion_sistolica cercana a 158.00 con radio ±13.06 Y presion_diastolica cercana a 83.50 con radio ±13.25 Y fumador = no Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, fumador, presion_diastolica, presion_sistolica",4,0.13370515538378758,0.021921146843104162,0.8794724154901792,1.7677837497290034,0.7601441104282174,1,1,1,500,55,0.5,exploratoria,False,2
RD_0205,205,presion_sistolica cercana a 141.36 con radio ±12.69 Y presion_diastolica cercana a 87.17 con radio ±9.76 Y actividad_fisica = si => enfermedad_cardiovascular = si,si,gaussiana,"actividad_fisica, presion_diastolica, presion_sistolica",3,0.13364520211270647,0.044390453816524685,0.8236442674497111,1.6555663667330875,0.6490433183078829,1,1,1,500,55,0.5,exploratoria,False,2
RD_0206,206,presion_sistolica cercana a 158.00 con radio ±16.01 Y colesterol = normal Y glucosa = normal Y fumador = no => enfermedad_cardiovascular = si,si,gaussiana,"colesterol, fumador, glucosa, presion_sistolica",4,0.133495215926031,0.02737460791339804,0.8790541270007304,1.7669429688456892,0.7593116955238416,2,1,1,500,55,0.5,exploratoria,False,2
RD_0207,207,presion_sistolica cercana a 158.00 con radio ±14.08 Y colesterol = normal Y fumador = no Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, colesterol, fumador, presion_sistolica",4,0.13325021878801702,0.032222781622076244,0.8785656374725009,1.7659610803467356,0.7583395770597035,1,1,1,500,55,0.5,exploratoria,False,2
RD_0208,208,presion_sistolica cercana a 158.00 con radio ±12.96 Y sexo = mujer Y fumador = no Y alcohol = no => enfermedad_cardiovascular = si,si,triangular,"alcohol, fumador, presion_sistolica, sexo",4,0.13303444902617398,0.03121861211734732,0.8781351091964776,1.765095696877342,0.7574828043710998,1,1,1,500,55,0.5,exploratoria,False,2
